사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-10,2호선,0214,강변(동서울터미널),33,0,"9,119","2,689","26,718","27,666","74,289","29,335","112,784","47,823","83,758","43,383","69,108","40,030","60,281","37,727","58,755","43,689","54,615","47,379","49,070","53,451","52,046","61,839","55,334","69,030","60,051","84,173","65,139","110,057","49,496","79,156","43,201","53,998","34,968","46,458","23,147","43,104","9,249","23,369",844,"5,092",0,138,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0215,잠실나루,25,1,"3,455","1,797","11,038","10,194","36,353","20,674","45,388","35,917","30,537","25,579","25,020","19,275","24,263","16,440","24,145","20,073","21,985","21,571","22,363","20,122","24,680","20,274","28,886","21,983","34,855","27,632","28,447","38,719","14,377","28,343","11,193","18,161","8,289","17,437","6,561","16,695","2,789","9,568",333,"2,435",0,43,0,1,0,0,2022-11-03 10:23:13
2022-10,2호선,0216,잠실(송파구청),97,6,"12,598","4,873","44,841","39,579","111,486","82,922","155,243","193,113","119,921","187,933","84,731","124,158","85,152","127,743","96,539","130,029","106,857","132,302","118,384","132,536","145,348","146,755","170,786","160,271","206,090","186,736","245,903","230,722","181,732","153,592","182,117","98,753","185,530","93,005","120,420","85,103","31,993","45,379","3,739","8,286",3,210,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0217,잠실새내,67,2,"5,455",845,"17,083","8,441","53,905","16,237","75,609","28,229","49,601","31,136","34,609","24,944","32,710","26,902","34,075","30,341","33,590","34,901","31,710","36,592","34,435","42,054","35,915","48,249","39,182","61,920","41,561","84,754","30,388","57,995","26,719","35,180","25,885","31,504","26,634","29,399","14,638","16,415","2,097","4,272",1,114,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0218,종합운동장,18,1,"1,771","1,021","5,749","13,245","16,087","21,910","22,782","30,929","16,517","21,009","12,945","21,587","12,114","17,192","16,058","18,871","15,741","23,352","16,202","25,870","23,505","36,049","23,877","44,005","28,242","59,545","24,570","60,007","17,523","26,134","27,982","11,999","52,843","11,671","67,850","11,873","10,261","5,948",339,"1,447",1,85,1,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0219,삼성(무역센터),212,1,"4,913","5,116","7,071","40,333","14,108","127,871","19,801","314,927","21,474","230,020","25,248","109,096","36,956","80,057","47,780","75,100","63,296","83,700","76,276","70,647","94,770","60,436","121,724","58,865","206,359","64,179","285,467","62,111","147,169","34,976","110,835","18,065","97,587","15,456","64,812","12,603","18,138","6,720","2,567","4,568",0,"1,035",0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0220,선릉,155,6,"4,998","6,289","11,086","41,156","21,029","105,723","34,783","266,905","33,087","213,002","37,744","105,687","48,482","65,088","57,902","59,130","65,760","67,031","74,895","55,190","92,499","48,396","115,483","47,966","182,499","53,667","276,858","56,350","136,575","36,130","88,087","22,089","83,575","18,608","70,863","17,623","26,851","10,350","4,343","3,860",0,130,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0221,역삼,43,1,"3,550","6,354","8,685","36,432","14,968","134,005","25,854","333,643","23,732","289,330","25,326","123,215","32,992","67,837","40,023","57,511","47,608","61,668","56,559","50,635","73,637","46,205","92,153","42,551","198,097","50,418","263,874","56,693","141,375","35,550","82,511","21,560","77,668","18,564","55,099","15,854","22,058","9,722","3,771","2,855",0,65,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0222,강남,226,8,"10,660","11,386","19,555","50,067","37,354","136,882","62,380","280,477","52,118","287,415","51,336","143,089","66,067","103,971","83,334","101,317","97,852","114,873","108,128","101,623","133,434","97,010","154,872","106,440","231,828","133,765","299,117","174,491","193,442","106,982","154,012","58,683","174,686","47,289","164,626","43,743","78,414","24,265","13,254","6,499",2,90,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0223,교대(법원.검찰청),20,0,"2,979","6,712","12,071","26,855","24,868","56,387","36,391","146,818","30,927","135,958","29,616","66,817","34,979","57,124","37,722","51,539","45,423","56,013","53,006","50,399","57,375","47,417","60,831","49,777","95,579","63,103","132,731","73,465","64,036","42,524","53,848","25,471","55,787","23,302","45,773","22,155","17,250","11,985","3,177","2,901",0,9,0,0,0,0,2022-11-03 10:23:13
2022-10,2호선,0224,서초,39,0,"1,657","5,172","9,486","21,578","17,210","49,780","27,733","107,592","28,916","87,756","21,878","40,083","29,397","33,002","27,180","24,160","34,556","26,796","34,453","25,170","41,550","20,143","48,855","22,241","68,185","24,268","92,638","25,268","41,704","17,559","28,740","10,513","27,711","10,102","17,414","10,319","6,038","5,628",846,"1,329",0,6,0,0,0,0,2022-11-03 10:23:13
